Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
Peru,Ingreso Mediano Alto,267603.248655253,0.1
Philippines,Países De Ingreso Mediano Bajo,437146.372729942,0.16
Palau,Ingreso Alto,281.8490625,0.0
Papua New Guinea,Países De Ingreso Mediano Bajo,30729.2429194411,0.01
Poland,Ingreso Alto,809200.6977970881,0.29
Puerto Rico,Ingreso Alto,117902.3,0.04
Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
Portugal,Ingreso Alto,289114.289663542,0.1
Paraguay,Ingreso Mediano Alto,42956.2635439482,0.02
"Palestine, State Of",Países De Ingreso Mediano Bajo,17420.8,0.01
French Polynesia,Ingreso Alto,0.0,0.0
Qatar,Ingreso Alto,213002.809330267,0.08
Romania,Ingreso Alto,350775.85641518905,0.13
Russian Federation,Ingreso Alto,2021421.47603542,0.73
Rwanda,Países De Ingreso Bajo,14097.7684721883,0.01
Saudi Arabia,Ingreso Alto,1067582.93333333,0.39
Sudan,Países De Ingreso Bajo,109265.503110904,0.04
Senegal,Países De Ingreso Mediano Bajo,30848.3330837055,0.01
Singapore,Ingreso Alto,501427.5000800591,0.18
Solomon Islands,Países De Ingreso Mediano Bajo,1633.31940119414,0.0
Sierra Leone,Países De Ingreso Bajo,6411.86954628929,0.0
El Salvador,Ingreso Mediano Alto,34015.62,0.01
San Marino,Ingreso Alto,0.0,0.0
Somalia,Países De Ingreso Bajo,10968.5170900004,0.0
Serbia,Ingreso Mediano Alto,81342.6607523732,0.03
South Sudan,Países De Ingreso Bajo,0.0,0.0
Sao Tome And Principe,Países De Ingreso Mediano Bajo,678.976264835436,0.0
Suriname,Ingreso Mediano Alto,3455.14628083975,0.0
Slovakia,Ingreso Alto,132908.33623429498,0.05
Slovenia,Ingreso Alto,69148.46841732081,0.02
Sweden,Ingreso Alto,584960.4757673199,0.21
Eswatini,Países De Ingreso Mediano Bajo,4442.87578808505,0.0
Sint Maarten (Dutch Part),Ingreso Alto,1627.77694927374,0.0
Seychelles,Ingreso Alto,2141.45017113932,0.0
Syrian Arab Republic,Países De Ingreso Bajo,0.0,0.0
Turks And Caicos Islands,Ingreso Alto,1402.05439094734,0.0
Chad,Países De Ingreso Bajo,13149.3253623347,0.0
Togo,Países De Ingreso Bajo,9171.26183757103,0.0
Thailand,Ingreso Mediano Alto,514968.699239005,0.19
Tajikistan,Países De Ingreso Mediano Bajo,12060.6020088478,0.0
Turkmenistan,Ingreso Mediano Alto,60628.8571428571,0.02
Timor-Leste,Países De Ingreso Mediano Bajo,2079.9169,0.0
Tonga,Ingreso Mediano Alto,0.0,0.0
Trinidad And Tobago,Ingreso Alto,27372.2856979477,0.01
Tunisia,Países De Ingreso Mediano Bajo,48529.5954166533,0.02
Turkey,Ingreso Mediano Alto,1118252.96426077,0.4
Tuvalu,Ingreso Mediano Alto,62.2803115852172,0.0
"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,79062.403820892,0.03
Uganda,Países De Ingreso Bajo,48768.9558633175,0.02
Ukraine,Ingreso Mediano Alto,178757.021965008,0.06
Uruguay,Ingreso Alto,77240.8308774597,0.03
United States Of America,Ingreso Alto,27720709.0,10.0
Uzbekistan,Países De Ingreso Mediano Bajo,101591.769702343,0.04
Saint Vincent And The Grenadines,Ingreso Mediano Alto,1065.96296296296,0.0
Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
Virgin Islands (British),Ingreso Alto,0.0,0.0
Virgin Islands (U.S.),Ingreso Alto,0.0,0.0
Viet Nam,Países De Ingreso Mediano Bajo,429716.969043572,0.16
Vanuatu,Países De Ingreso Mediano Bajo,1126.3133592192298,0.0
Samoa,Países De Ingreso Mediano Bajo,938.189443830393,0.0
Yemen,Países De Ingreso Bajo,0.0,0.0
South Africa,Ingreso Mediano Alto,380699.271814508,0.14
Zambia,Países De Ingreso Mediano Bajo,27577.956471244,0.01
Zimbabwe,Países De Ingreso Mediano Bajo,35231.3678858554,0.01
