country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje,Country,2022_income_group,2022_total_gdp_million,2022_porcentaje,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
DZA,Algeria,Ingreso Mediano Alto,193459.662090677,0.09,Algeria,Ingreso Mediano Alto,164873.415325201,0.08,Algeria,Ingreso Mediano Alto,186231.205262082,0.08,Algeria,Ingreso Mediano Alto,225638.456572143,0.09,Algeria,Ingreso Mediano Alto,247626.161016414,0.09
ECU,Ecuador,Ingreso Mediano Alto,107595.829,0.05,Ecuador,Ingreso Mediano Alto,95865.472,0.04,Ecuador,Ingreso Mediano Alto,107435.101,0.05,Ecuador,Ingreso Mediano Alto,116586.079,0.04,Ecuador,Ingreso Mediano Alto,118844.826,0.04
EGY,Egypt,Países De Ingreso Mediano Bajo,318678.815489749,0.15,Egypt,Países De Ingreso Mediano Bajo,383817.841547099,0.18,Egypt,Países De Ingreso Mediano Bajo,424671.765455704,0.18,Egypt,Países De Ingreso Mediano Bajo,476747.720364742,0.18,Egypt,Países De Ingreso Mediano Bajo,396002.49699696,0.14
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0,Eritrea,Países De Ingreso Bajo,0.0,0.0,Eritrea,Países De Ingreso Bajo,0.0,0.0,Eritrea,Países De Ingreso Bajo,0.0,0.0,Eritrea,Países De Ingreso Bajo,0.0,0.0
ESP,Spain,Ingreso Alto,1403496.38768627,0.65,Spain,Ingreso Alto,1289783.83697121,0.6,Spain,Ingreso Alto,1461244.90185269,0.62,Spain,Ingreso Alto,1446498.14774903,0.56,Spain,Ingreso Alto,1620090.73495689,0.58
EST,Estonia,Ingreso Alto,31873.7487700313,0.01,Estonia,Ingreso Alto,31820.7714938974,0.01,Estonia,Ingreso Alto,37204.56305147229,0.02,Estonia,Ingreso Alto,38376.046174971,0.01,Estonia,Ingreso Alto,41291.2452221948,0.01
ETH,Ethiopia,Países De Ingreso Bajo,95912.6077223032,0.04,Ethiopia,Países De Ingreso Bajo,107657.734392446,0.05,Ethiopia,Países De Ingreso Bajo,111261.882958426,0.05,Ethiopia,Países De Ingreso Bajo,126772.703047701,0.05,Ethiopia,Países De Ingreso Bajo,163697.927593982,0.06
FIN,Finland,Ingreso Alto,267014.821129411,0.12,Finland,Ingreso Alto,270000.311606226,0.13,Finland,Ingreso Alto,294223.210496119,0.12,Finland,Ingreso Alto,280241.51577432,0.11,Finland,Ingreso Alto,295532.34125490696,0.11
FJI,Fiji,Ingreso Mediano Alto,5444.40721431758,0.0,Fiji,Ingreso Mediano Alto,4432.46623709588,0.0,Fiji,Ingreso Mediano Alto,4305.03163081808,0.0,Fiji,Ingreso Mediano Alto,4969.503560773501,0.0,Fiji,Ingreso Mediano Alto,5442.04656504719,0.0
FRA,France,Ingreso Alto,2722793.51517176,1.26,France,Ingreso Alto,2647926.05511005,1.24,France,Ingreso Alto,2966433.6920080897,1.25,France,Ingreso Alto,2796302.21039884,1.08,France,Ingreso Alto,3051831.61138476,1.1
FRO,Faroe Islands,Ingreso Alto,3266.43273422819,0.0,Faroe Islands,Ingreso Alto,3271.8133115831,0.0,Faroe Islands,Ingreso Alto,3664.68679662669,0.0,Faroe Islands,Ingreso Alto,3566.6983976602,0.0,Faroe Islands,Ingreso Alto,3907.32396133964,0.0
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,394.0,0.0,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,372.0,0.0,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,390.0,0.0,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,430.0,0.0,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,460.0,0.0
GAB,Gabon,Ingreso Mediano Alto,16874.405465391003,0.01,Gabon,Ingreso Mediano Alto,15342.2361639864,0.01,Gabon,Ingreso Mediano Alto,19444.935097239497,0.01,Gabon,Ingreso Mediano Alto,20440.6556951804,0.01,Gabon,Ingreso Mediano Alto,19388.4025416698,0.01
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,2851407.1649078103,1.32,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,2696778.3866076497,1.26,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3143323.05070726,1.33,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3114042.4711443903,1.2,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3380854.52080954,1.22
GEO,Georgia,Ingreso Mediano Alto,17638.3371169126,0.01,Georgia,Ingreso Mediano Alto,16010.86921568,0.01,Georgia,Ingreso Mediano Alto,18853.1155888106,0.01,Georgia,Ingreso Mediano Alto,24984.568959605,0.01,Georgia,Ingreso Mediano Alto,30777.8335854441,0.01
GHA,Ghana,Países De Ingreso Mediano Bajo,68337.9692477067,0.03,Ghana,Países De Ingreso Mediano Bajo,70043.09967567999,0.03,Ghana,Países De Ingreso Mediano Bajo,79524.42186127431,0.03,Ghana,Países De Ingreso Mediano Bajo,74263.3640418742,0.03,Ghana,Países De Ingreso Mediano Bajo,76370.39672215401,0.03
GIB,Gibraltar,Ingreso Alto,0.0,0.0,Gibraltar,Ingreso Alto,0.0,0.0,Gibraltar,Ingreso Alto,0.0,0.0,Gibraltar,Ingreso Alto,0.0,0.0,Gibraltar,Ingreso Alto,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,13442.8614964454,0.01,Guinea,Países De Ingreso Mediano Bajo,14088.6937429464,0.01,Guinea,Países De Ingreso Mediano Bajo,17069.115737825898,0.01,Guinea,Países De Ingreso Mediano Bajo,19910.452541921903,0.01,Guinea,Países De Ingreso Mediano Bajo,22199.4097412578,0.01
GMB,Gambia,Países De Ingreso Bajo,1813.60969249994,0.0,Gambia,Países De Ingreso Bajo,1812.17089119069,0.0,Gambia,Países De Ingreso Bajo,2014.15884214596,0.0,Gambia,Países De Ingreso Bajo,2204.73452788096,0.0,Gambia,Países De Ingreso Bajo,2396.11102164149,0.0
GNB,Guinea-Bissau,Países De Ingreso Bajo,1588.63885359328,0.0,Guinea-Bissau,Países De Ingreso Bajo,1646.40034984867,0.0,Guinea-Bissau,Países De Ingreso Bajo,1853.79645589489,0.0,Guinea-Bissau,Países De Ingreso Bajo,1796.60853082267,0.0,Guinea-Bissau,Países De Ingreso Bajo,2048.34810835852,0.0
GNQ,Equatorial Guinea,Ingreso Mediano Alto,11364.1335497478,0.01,Equatorial Guinea,Ingreso Mediano Alto,9893.8160077398,0.0,Equatorial Guinea,Ingreso Mediano Alto,12215.8780327166,0.01,Equatorial Guinea,Ingreso Mediano Alto,13687.6434356249,0.01,Equatorial Guinea,Ingreso Mediano Alto,12337.550583754,0.0
GRC,Greece,Ingreso Alto,207305.649887019,0.1,Greece,Ingreso Alto,191362.985554861,0.09,Greece,Ingreso Alto,218303.801895326,0.09,Greece,Ingreso Alto,218880.566444349,0.08,Greece,Ingreso Alto,243498.333237802,0.09
GRD,Grenada,Ingreso Mediano Alto,1213.48518518519,0.0,Grenada,Ingreso Mediano Alto,1043.41111111111,0.0,Grenada,Ingreso Mediano Alto,1122.8,0.0,Grenada,Ingreso Mediano Alto,1224.57777777778,0.0,Grenada,Ingreso Mediano Alto,1316.73333333333,0.0
GRL,Greenland,Ingreso Alto,2997.3099718762296,0.0,Greenland,Ingreso Alto,3082.8846532456,0.0,Greenland,Ingreso Alto,3235.8095042987097,0.0,Greenland,Ingreso Alto,0.0,0.0,Greenland,Ingreso Alto,0.0,0.0
GTM,Guatemala,Ingreso Mediano Alto,77172.3172586478,0.04,Guatemala,Ingreso Mediano Alto,77719.46422072999,0.04,Guatemala,Ingreso Mediano Alto,86478.8356363813,0.04,Guatemala,Ingreso Mediano Alto,95630.524813106,0.04,Guatemala,Ingreso Mediano Alto,104450.210572012,0.04
GUM,Guam,Ingreso Alto,6355.0,0.0,Guam,Ingreso Alto,5916.0,0.0,Guam,Ingreso Alto,6234.0,0.0,Guam,Ingreso Alto,6910.0,0.0,Guam,Ingreso Alto,0.0,0.0
GUY,Guyana,Ingreso Alto,5173.760191846521,0.0,Guyana,Ingreso Alto,5471.25659472422,0.0,Guyana,Ingreso Alto,8041.36389304556,0.0,Guyana,Ingreso Alto,14718.3870167866,0.01,Guyana,Ingreso Alto,17159.5095654676,0.01
HKG,Hong Kong,Ingreso Alto,363074.54507238895,0.17,Hong Kong,Ingreso Alto,344943.149590058,0.16,Hong Kong,Ingreso Alto,368954.169748818,0.16,Hong Kong,Ingreso Alto,358681.066274469,0.14,Hong Kong,Ingreso Alto,380812.234827832,0.14
HND,Honduras,Países De Ingreso Mediano Bajo,24882.2257418119,0.01,Honduras,Países De Ingreso Mediano Bajo,23352.232483755,0.01,Honduras,Países De Ingreso Mediano Bajo,28144.331506614897,0.01,Honduras,Países De Ingreso Mediano Bajo,31426.0418067985,0.01,Honduras,Países De Ingreso Mediano Bajo,34400.5098520436,0.01
HRV,Croatia,Ingreso Alto,61467.58219368241,0.03,Croatia,Ingreso Alto,57963.37088507981,0.03,Croatia,Ingreso Alto,69006.8022986956,0.03,Croatia,Ingreso Alto,71198.6351019514,0.03,Croatia,Ingreso Alto,84393.7955024421,0.03
HTI,Haiti,Países De Ingreso Mediano Bajo,15016.0909295125,0.01,Haiti,Países De Ingreso Mediano Bajo,14508.2225183018,0.01,Haiti,Países De Ingreso Mediano Bajo,20877.4149526375,0.01,Haiti,Países De Ingreso Mediano Bajo,20253.551920551603,0.01,Haiti,Países De Ingreso Mediano Bajo,19850.8297575418,0.01
HUN,Hungary,Ingreso Alto,164020.460331659,0.08,Hungary,Ingreso Alto,157288.955508176,0.07,Hungary,Ingreso Alto,182109.99947769105,0.08,Hungary,Ingreso Alto,177006.12862462702,0.07,Hungary,Ingreso Alto,212388.906458724,0.08
IDN,Indonesia,Ingreso Mediano Alto,1119099.87138579,0.52,Indonesia,Ingreso Mediano Alto,1059054.84271155,0.5,Indonesia,Ingreso Mediano Alto,1186509.69107097,0.5,Indonesia,Ingreso Mediano Alto,1319076.26729151,0.51,Indonesia,Ingreso Mediano Alto,1371171.15233116,0.49
IMN,Isle Of Man,Ingreso Alto,7314.96786628289,0.0,Isle Of Man,Ingreso Alto,6684.22564102564,0.0,Isle Of Man,Ingreso Alto,7931.19322206405,0.0,Isle Of Man,Ingreso Alto,0.0,0.0,Isle Of Man,Ingreso Alto,0.0,0.0
