country_code,Country,2019_income_group,2019_total_gdp_million,2019_porcentaje,Country,2020_income_group,2020_total_gdp_million,2020_porcentaje,Country,2021_income_group,2021_total_gdp_million,2021_porcentaje,Country,2022_income_group,2022_total_gdp_million,2022_porcentaje,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,412.976082620705,0.0,Sao Tome And Principe,Países De Ingreso Mediano Bajo,471.229484607144,0.0,Sao Tome And Principe,Países De Ingreso Mediano Bajo,524.40245554816,0.0,Sao Tome And Principe,Países De Ingreso Mediano Bajo,540.809499189348,0.0,Sao Tome And Principe,Países De Ingreso Mediano Bajo,678.976264835436,0.0
SUR,Suriname,Ingreso Mediano Alto,4016.04057508796,0.0,Suriname,Ingreso Mediano Alto,2911.80749620227,0.0,Suriname,Ingreso Mediano Alto,3107.92319796954,0.0,Suriname,Ingreso Mediano Alto,3791.6032000259,0.0,Suriname,Ingreso Mediano Alto,3455.14628083975,0.0
SVK,Slovakia,Ingreso Alto,105843.498304094,0.05,Slovakia,Ingreso Alto,107732.602896441,0.05,Slovakia,Ingreso Alto,120592.216208386,0.05,Slovakia,Ingreso Alto,115928.615553286,0.04,Slovakia,Ingreso Alto,132908.33623429498,0.05
SVN,Slovenia,Ingreso Alto,53909.922735545,0.03,Slovenia,Ingreso Alto,53384.760135158096,0.02,Slovenia,Ingreso Alto,61529.280461092,0.03,Slovenia,Ingreso Alto,59927.7027462843,0.02,Slovenia,Ingreso Alto,69148.46841732081,0.02
SWE,Sweden,Ingreso Alto,532169.29416594,0.25,Sweden,Ingreso Alto,545147.614972141,0.26,Sweden,Ingreso Alto,637186.904843636,0.27,Sweden,Ingreso Alto,579895.717343956,0.22,Sweden,Ingreso Alto,584960.4757673199,0.21
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4594.81814327624,0.0,Eswatini,Países De Ingreso Mediano Bajo,4105.75686255271,0.0,Eswatini,Países De Ingreso Mediano Bajo,4737.67157632851,0.0,Eswatini,Países De Ingreso Mediano Bajo,4695.3727850814,0.0,Eswatini,Países De Ingreso Mediano Bajo,4442.87578808505,0.0
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1407.88044692737,0.0,Sint Maarten (Dutch Part),Ingreso Alto,1236.42810055866,0.0,Sint Maarten (Dutch Part),Ingreso Alto,1353.07106145251,0.0,Sint Maarten (Dutch Part),Ingreso Alto,1537.0887150838,0.0,Sint Maarten (Dutch Part),Ingreso Alto,1627.77694927374,0.0
SYC,Seychelles,Ingreso Alto,1868.69009673454,0.0,Seychelles,Ingreso Alto,1382.55175156908,0.0,Seychelles,Ingreso Alto,1487.17379480528,0.0,Seychelles,Ingreso Alto,2057.96851983091,0.0,Seychelles,Ingreso Alto,2141.45017113932,0.0
SYR,Syrian Arab Republic,Países De Ingreso Bajo,22583.0450600821,0.01,Syrian Arab Republic,Países De Ingreso Bajo,12047.752036091,0.01,Syrian Arab Republic,Países De Ingreso Bajo,14353.2056784991,0.01,Syrian Arab Republic,Países De Ingreso Bajo,23622.8270795047,0.01,Syrian Arab Republic,Países De Ingreso Bajo,0.0,0.0
TCA,Turks And Caicos Islands,Ingreso Alto,1177.28521172521,0.0,Turks And Caicos Islands,Ingreso Alto,774.653669315186,0.0,Turks And Caicos Islands,Ingreso Alto,1045.7824535755,0.0,Turks And Caicos Islands,Ingreso Alto,1228.79438295121,0.0,Turks And Caicos Islands,Ingreso Alto,1402.05439094734,0.0
TCD,Chad,Países De Ingreso Bajo,11314.9510917283,0.01,Chad,Países De Ingreso Bajo,10715.3960423343,0.01,Chad,Países De Ingreso Bajo,11779.9813328631,0.0,Chad,Países De Ingreso Bajo,12396.8075884082,0.0,Chad,Países De Ingreso Bajo,13149.3253623347,0.0
TGO,Togo,Países De Ingreso Bajo,6992.70010137188,0.0,Togo,Países De Ingreso Bajo,7400.28416778479,0.0,Togo,Países De Ingreso Bajo,8342.24364594438,0.0,Togo,Países De Ingreso Bajo,8169.47614895692,0.0,Togo,Países De Ingreso Bajo,9171.26183757103,0.0
THA,Thailand,Ingreso Mediano Alto,543976.691793886,0.25,Thailand,Ingreso Mediano Alto,500461.898480246,0.23,Thailand,Ingreso Mediano Alto,506256.4942973401,0.21,Thailand,Ingreso Mediano Alto,495645.21097275097,0.19,Thailand,Ingreso Mediano Alto,514968.699239005,0.19
TJK,Tajikistan,Países De Ingreso Mediano Bajo,8300.8135993084,0.0,Tajikistan,Países De Ingreso Mediano Bajo,8133.9635506574205,0.0,Tajikistan,Países De Ingreso Mediano Bajo,8937.805347139629,0.0,Tajikistan,Países De Ingreso Mediano Bajo,10713.5252003998,0.0,Tajikistan,Países De Ingreso Mediano Bajo,12060.6020088478,0.0
TKM,Turkmenistan,Ingreso Mediano Alto,45232.8571428571,0.02,Turkmenistan,Ingreso Mediano Alto,45818.0,0.02,Turkmenistan,Ingreso Mediano Alto,50007.428571428594,0.02,Turkmenistan,Ingreso Mediano Alto,58972.0,0.02,Turkmenistan,Ingreso Mediano Alto,60628.8571428571,0.02
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,2032.5504,0.0,Timor-Leste,Países De Ingreso Mediano Bajo,2162.6192,0.0,Timor-Leste,Países De Ingreso Mediano Bajo,3624.8897,0.0,Timor-Leste,Países De Ingreso Mediano Bajo,3208.594,0.0,Timor-Leste,Países De Ingreso Mediano Bajo,2079.9169,0.0
TON,Tonga,Ingreso Mediano Alto,494.197841113077,0.0,Tonga,Ingreso Mediano Alto,496.85629576752,0.0,Tonga,Ingreso Mediano Alto,518.22801209129,0.0,Tonga,Ingreso Mediano Alto,518.180042241509,0.0,Tonga,Ingreso Mediano Alto,0.0,0.0
TTO,Trinidad And Tobago,Ingreso Alto,23775.659262573503,0.01,Trinidad And Tobago,Ingreso Alto,20807.7161740546,0.01,Trinidad And Tobago,Ingreso Alto,24496.397204717603,0.01,Trinidad And Tobago,Ingreso Alto,30053.4460920128,0.01,Trinidad And Tobago,Ingreso Alto,27372.2856979477,0.01
TUN,Tunisia,Países De Ingreso Mediano Bajo,41905.642418825,0.02,Tunisia,Países De Ingreso Mediano Bajo,42491.780918361,0.02,Tunisia,Países De Ingreso Mediano Bajo,46812.290143344,0.02,Tunisia,Países De Ingreso Mediano Bajo,44579.7610228993,0.02,Tunisia,Países De Ingreso Mediano Bajo,48529.5954166533,0.02
TUR,Turkey,Ingreso Mediano Alto,761005.9157509251,0.35,Turkey,Ingreso Mediano Alto,720338.490327248,0.34,Turkey,Ingreso Mediano Alto,819865.223976115,0.35,Turkey,Ingreso Mediano Alto,907118.434653505,0.35,Turkey,Ingreso Mediano Alto,1118252.96426077,0.4
TUV,Tuvalu,Ingreso Mediano Alto,54.1231985662913,0.0,Tuvalu,Ingreso Mediano Alto,51.7465943148543,0.0,Tuvalu,Ingreso Mediano Alto,60.1964057138393,0.0,Tuvalu,Ingreso Mediano Alto,59.0659820873657,0.0,Tuvalu,Ingreso Mediano Alto,62.2803115852172,0.0
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,61026.7319259213,0.03,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,66068.73778606391,0.03,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,70655.6281478986,0.03,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,75769.9745050106,0.03,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,79062.403820892,0.03
UGA,Uganda,Países De Ingreso Bajo,35348.1550954215,0.02,Uganda,Países De Ingreso Bajo,37600.3682416657,0.02,Uganda,Países De Ingreso Bajo,40529.7887486737,0.02,Uganda,Países De Ingreso Bajo,45565.3332109108,0.02,Uganda,Países De Ingreso Bajo,48768.9558633175,0.02
UKR,Ukraine,Ingreso Mediano Alto,153883.047509577,0.07,Ukraine,Ingreso Mediano Alto,156617.72201334202,0.07,Ukraine,Ingreso Mediano Alto,199765.859570935,0.08,Ukraine,Ingreso Mediano Alto,161989.52072119,0.06,Ukraine,Ingreso Mediano Alto,178757.021965008,0.06
URY,Uruguay,Ingreso Alto,62222.3258070578,0.03,Uruguay,Ingreso Alto,53668.6365678667,0.03,Uruguay,Ingreso Alto,60760.7985955436,0.03,Uruguay,Ingreso Alto,70164.6832903776,0.03,Uruguay,Ingreso Alto,77240.8308774597,0.03
USA,United States Of America,Ingreso Alto,21539982.0,10.0,United States Of America,Ingreso Alto,21354105.0,10.0,United States Of America,Ingreso Alto,23681171.0,10.0,United States Of America,Ingreso Alto,26006893.0,10.0,United States Of America,Ingreso Alto,27720709.0,10.0
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,67293.6397983996,0.03,Uzbekistan,Países De Ingreso Mediano Bajo,66443.2654183086,0.03,Uzbekistan,Países De Ingreso Mediano Bajo,77340.0600030347,0.03,Uzbekistan,Países De Ingreso Mediano Bajo,90095.9265674359,0.03,Uzbekistan,Países De Ingreso Mediano Bajo,101591.769702343,0.04
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,910.766666666667,0.0,Saint Vincent And The Grenadines,Ingreso Mediano Alto,869.1111111111111,0.0,Saint Vincent And The Grenadines,Ingreso Mediano Alto,872.2259259259259,0.0,Saint Vincent And The Grenadines,Ingreso Mediano Alto,966.492592592592,0.0,Saint Vincent And The Grenadines,Ingreso Mediano Alto,1065.96296296296,0.0
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0,Virgin Islands (British),Ingreso Alto,0.0,0.0,Virgin Islands (British),Ingreso Alto,0.0,0.0,Virgin Islands (British),Ingreso Alto,0.0,0.0,Virgin Islands (British),Ingreso Alto,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,4121.0,0.0,Virgin Islands (U.S.),Ingreso Alto,4229.0,0.0,Virgin Islands (U.S.),Ingreso Alto,4507.0,0.0,Virgin Islands (U.S.),Ingreso Alto,4672.0,0.0,Virgin Islands (U.S.),Ingreso Alto,0.0,0.0
VNM,Viet Nam,Países De Ingreso Mediano Bajo,334365.270496667,0.16,Viet Nam,Países De Ingreso Mediano Bajo,346615.738537796,0.16,Viet Nam,Países De Ingreso Mediano Bajo,366474.752771009,0.15,Viet Nam,Países De Ingreso Mediano Bajo,410324.028883325,0.16,Viet Nam,Países De Ingreso Mediano Bajo,429716.969043572,0.16
VUT,Vanuatu,Países De Ingreso Mediano Bajo,936.526267622513,0.0,Vanuatu,Países De Ingreso Mediano Bajo,909.421043508407,0.0,Vanuatu,Países De Ingreso Mediano Bajo,950.394006532514,0.0,Vanuatu,Países De Ingreso Mediano Bajo,1022.21929750335,0.0,Vanuatu,Países De Ingreso Mediano Bajo,1126.3133592192298,0.0
WSM,Samoa,Países De Ingreso Mediano Bajo,912.950466064906,0.0,Samoa,Países De Ingreso Mediano Bajo,868.8983582664371,0.0,Samoa,Países De Ingreso Mediano Bajo,843.923638733018,0.0,Samoa,Países De Ingreso Mediano Bajo,832.9452056371849,0.0,Samoa,Países De Ingreso Mediano Bajo,938.189443830393,0.0
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0,Yemen,Países De Ingreso Bajo,0.0,0.0,Yemen,Países De Ingreso Bajo,0.0,0.0,Yemen,Países De Ingreso Bajo,0.0,0.0,Yemen,Países De Ingreso Bajo,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,389330.032224269,0.18,South Africa,Ingreso Mediano Alto,337974.655408055,0.16,South Africa,Ingreso Mediano Alto,420886.877628703,0.18,South Africa,Ingreso Mediano Alto,406920.004594074,0.16,South Africa,Ingreso Mediano Alto,380699.271814508,0.14
ZMB,Zambia,Países De Ingreso Mediano Bajo,23308.6677812258,0.01,Zambia,Países De Ingreso Mediano Bajo,18137.764930651,0.01,Zambia,Países De Ingreso Mediano Bajo,22096.4169320089,0.01,Zambia,Países De Ingreso Mediano Bajo,29163.7821404858,0.01,Zambia,Países De Ingreso Mediano Bajo,27577.956471244,0.01
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,25717.409842447894,0.01,Zimbabwe,Países De Ingreso Mediano Bajo,26867.9364446826,0.01,Zimbabwe,Países De Ingreso Mediano Bajo,27240.515108804902,0.01,Zimbabwe,Países De Ingreso Mediano Bajo,32789.7517363323,0.01,Zimbabwe,Países De Ingreso Mediano Bajo,35231.3678858554,0.01
