2020_country_code,2020_porcentaje,2020_Score,ingreso_norm,prensa_norm,indice_combinado
MMR,0.04,55.23,0.005813953488372093,0.47358296999230565,0.23969846174033888
NAM,0.0,80.75,0.0,0.1463195691202872,0.0731597845601436
NPL,0.02,64.9,0.0029069767441860465,0.34957681456783773,0.1762418956560119
NLD,0.44,90.04,0.06395348837209303,0.027186458066170482,0.045569973219131754
NZL,0.1,89.31,0.014534883720930234,0.03654783277763518,0.025541358249282706
NIC,0.01,64.19,0.0014534883720930232,0.35868171325981013,0.18006760081595158
NER,0.01,71.75,0.0014534883720930232,0.261733777891767,0.13159363313193
NGA,0.2,64.37,0.029069767441860468,0.3563734290843804,0.19272159826312044
,,14.18,,1.0,
MKD,0.01,68.72,0.0014534883720930232,0.3005898948448319,0.15102169160846246
,,70.21,,0.2814824313926648,
NOR,0.17,92.16,0.024709302325581398,0.0,0.012354651162790699
OMN,0.04,56.58,0.005813953488372093,0.4562708386765837,0.2310423960824779
PAK,0.14,54.48,0.020348837209302327,0.4832008207232623,0.25177482896628234
,,55.91,,0.4648627853295717,
PAN,0.03,70.22,0.00436046511627907,0.28135419338291856,0.14285732924959882
PNG,0.01,76.07,0.0014534883720930232,0.2063349576814567,0.10389422302677487
PRY,0.02,67.03,0.0029069767441860465,0.3222621184919209,0.16258454761805347
PER,0.09,69.06,0.013081395348837208,0.29622980251346487,0.15465559893115105
PHL,0.17,56.46,0.024709302325581398,0.4578096947935367,0.24125949855955905
POL,0.28,71.35,0.040697674418604654,0.2668632982816106,0.15378048635010763
PRT,0.11,88.17,0.015988372093023256,0.051166965888689186,0.03357766899085622
QAT,0.07,57.49,0.010174418604651164,0.4446011797896896,0.2273877991971704
ROU,0.12,74.09,0.01744186046511628,0.2317260836111822,0.12458397203814923
,,51.08,,0.5268017440369326,
RWA,0.0,49.66,0.0,0.5450115414208772,0.2725057707104386
WSM,0.0,81.75,0.0,0.13349576814567832,0.06674788407283916
SAU,0.34,37.86,0.049418604651162795,0.6963323929212618,0.3728754987862123
SEN,0.01,76.01,0.0014534883720930232,0.20710438573993317,0.1042789370560131
SRB,0.03,68.38,0.00436046511627907,0.30494998717619903,0.15465522614623906
SYC,0.0,71.34,0.0,0.26699153629135663,0.13349576814567832
SLE,0.0,69.72,0.0,0.287766093870223,0.1438830469351115
SGP,0.16,44.77,0.023255813953488372,0.6077199281867145,0.31548787107010146
SVK,0.05,77.33,0.007267441860465117,0.19017696845344956,0.09872220515695734
SVN,0.02,77.36,0.0029069767441860465,0.18979225442421122,0.09634961558419863
SOM,0.0,44.55,0.0,0.6105411644011285,0.30527058220056424
ZAF,0.16,77.59,0.023255813953488372,0.18684278020005118,0.10504929707676977
,,76.3,,0.20338548345729668,
ESP,0.6,77.84,0.0872093023255814,0.18363682995639896,0.13542306614099017
LKA,0.04,58.06,0.005813953488372093,0.43729161323416255,0.22155278336126732
SDN,0.01,44.67,0.0014534883720930232,0.6090023082841753,0.3052278983281342
SUR,0.0,82.5,0.0,0.12387791741472165,0.061938958707360825
SWE,0.26,90.75,0.03779069767441861,0.01808155937419842,0.027936128524308514
CHE,0.35,89.38,0.050872093023255814,0.03565016670941268,0.04326112986633425
,,27.43,,0.8300846370864324,
,,76.24,,0.20415491151577325,
TJK,0.0,44.66,0.0,0.6091305462939215,0.30456527314696075
,,59.75,,0.41561938958707356,
THA,0.23,55.06,0.03343023255813954,0.4757630161579891,0.2545966243580643
TLS,0.0,70.1,0.0,0.2828930494998717,0.14144652474993585
TGO,0.0,70.67,0.0,0.27558348294434454,0.13779174147217227
TON,0.0,72.73,0.0,0.2491664529366503,0.12458322646832515
,,76.78,,0.1972300589894843,
TUN,0.02,70.55,0.0029069767441860465,0.2771223390612977,0.14001465790274187
TUR,0.34,49.98,0.049418604651162795,0.5409079251090023,0.29516326488008254
TKM,0.02,14.56,0.0029069767441860465,0.9951269556296486,0.4990169661869173
UGA,0.02,59.05,0.0029069767441860465,0.4245960502692998,0.21375151350674293
UKR,0.07,67.48,0.010174418604651164,0.31649140805334686,0.16333291332899902
ARE,0.16,57.31,0.023255813953488372,0.4469094639651191,0.23508263895930373
,,77.07,,0.19351115670684793,
,,76.15,,0.20530905360348795,
URY,0.03,84.21,0.00436046511627907,0.10194921774814036,0.053154841432209714
UZB,0.03,46.93,0.00436046511627907,0.5800205180815593,0.2921904915989192
,,54.34,,0.48499615285970754,
,,25.29,,0.8575275711720954,
ZMB,0.01,63.0,0.0014534883720930232,0.37394203641959467,0.18769776239584385
ZWE,0.01,59.05,0.0014534883720930232,0.4245960502692998,0.21302476932069642
