Unnamed: 0,Country,2019_Rank,2019_Score,country_code_x,2019_income_group,2019_total_gdp_million,2019_porcentaje,2020_Rank,2020_Score,2020_income_group,2020_total_gdp_million,2020_porcentaje,2021_Rank,2021_Score,2021_income_group,2021_total_gdp_million,2021_porcentaje,2022_Rank,2022_Score,2022_income_group,2022_total_gdp_million,2022_porcentaje,2023_Rank,2023_Score,2023_income_group,2023_total_gdp_million,2023_porcentaje,2024_Rank,2024_Score,country_code_y,country_code
51,Eswatini,147.0,50.91,SWZ,Países De Ingreso Mediano Bajo,4594.81814327624,0.0,141.0,54.85,Países De Ingreso Mediano Bajo,4105.75686255271,0.0,141.0,53.66,Países De Ingreso Mediano Bajo,4737.67157632851,0.0,131.0,46.42,Países De Ingreso Mediano Bajo,4695.3727850814,0.0,111.0,52.66,Países De Ingreso Mediano Bajo,4442.87578808505,0.0,85.0,58.31,SWZ,SWZ
52,Ethiopia,110.0,64.89,ETH,Países De Ingreso Bajo,95912.6077223032,0.04,99.0,67.18,Países De Ingreso Bajo,107657.734392446,0.05,101.0,66.37,Países De Ingreso Bajo,111261.882958426,0.05,114.0,50.53,Países De Ingreso Bajo,126772.703047701,0.05,130.0,47.7,Países De Ingreso Bajo,163697.927593982,0.06,141.0,41.37,ETH,ETH
53,Fiji,52.0,72.82,FJI,Ingreso Mediano Alto,5444.40721431758,0.0,52.0,72.59,Ingreso Mediano Alto,4432.46623709588,0.0,55.0,72.08,Ingreso Mediano Alto,4305.03163081808,0.0,102.0,56.91,Ingreso Mediano Alto,4969.503560773501,0.0,89.0,59.27,Ingreso Mediano Alto,5442.04656504719,0.0,44.0,71.23,FJI,FJI
54,Finland,2.0,92.1,FIN,Ingreso Alto,267014.821129411,0.12,2.0,92.07,Ingreso Alto,270000.311606226,0.13,2.0,93.01,Ingreso Alto,294223.210496119,0.12,5.0,88.42,Ingreso Alto,280241.51577432,0.11,5.0,87.94,Ingreso Alto,295532.34125490696,0.11,5.0,86.55,FIN,FIN
55,France,32.0,77.79,FRA,Ingreso Alto,2722793.51517176,1.26,34.0,77.08,Ingreso Alto,2647926.05511005,1.24,34.0,77.4,Ingreso Alto,2966433.6920080897,1.25,26.0,78.53,Ingreso Alto,2796302.21039884,1.08,24.0,78.72,Ingreso Alto,3051831.61138476,1.1,21.0,78.65,FRA,FRA
56,Gabon,115.0,64.4,GAB,Ingreso Mediano Alto,16874.405465391003,0.01,121.0,62.8,Ingreso Mediano Alto,15342.2361639864,0.01,117.0,61.4,Ingreso Mediano Alto,19444.935097239497,0.01,105.0,56.0,Ingreso Mediano Alto,20440.6556951804,0.01,94.0,58.12,Ingreso Mediano Alto,19388.4025416698,0.01,56.0,65.83,GAB,GAB
57,Gambia,92.0,68.65,GMB,Países De Ingreso Bajo,1813.60969249994,0.0,87.0,69.38,Países De Ingreso Bajo,1812.17089119069,0.0,85.0,69.24,Países De Ingreso Bajo,2014.15884214596,0.0,50.0,69.25,Países De Ingreso Bajo,2204.73452788096,0.0,46.0,71.06,Países De Ingreso Bajo,2396.11102164149,0.0,58.0,65.53,GMB,GMB
58,Georgia,60.0,71.02,GEO,Ingreso Mediano Alto,17638.3371169126,0.01,60.0,71.41,Ingreso Mediano Alto,16010.86921568,0.01,60.0,71.36,Ingreso Mediano Alto,18853.1155888106,0.01,89.0,59.3,Ingreso Mediano Alto,24984.568959605,0.01,77.0,61.69,Ingreso Mediano Alto,30777.8335854441,0.01,103.0,53.05,GEO,GEO
59,Germany,13.0,85.4,DEU,Ingreso Alto,3957208.05521568,1.84,11.0,87.84,Ingreso Alto,3940142.5413541,1.85,13.0,84.76,Ingreso Alto,4348297.440387529,1.84,16.0,82.04,Ingreso Alto,4163596.35787939,1.6,21.0,81.91,Ingreso Alto,4525703.903627531,1.63,10.0,83.84,DEU,DEU
60,Ghana,27.0,79.19,GHA,Países De Ingreso Mediano Bajo,68337.9692477067,0.03,30.0,77.74,Países De Ingreso Mediano Bajo,70043.09967567999,0.03,30.0,78.67,Países De Ingreso Mediano Bajo,79524.42186127431,0.03,60.0,67.43,Países De Ingreso Mediano Bajo,74263.3640418742,0.03,62.0,65.93,Países De Ingreso Mediano Bajo,76370.39672215401,0.03,50.0,67.71,GHA,GHA
61,Greece,65.0,70.92,GRC,Ingreso Alto,207305.649887019,0.1,65.0,71.2,Ingreso Alto,191362.985554861,0.09,70.0,70.99,Ingreso Alto,218303.801895326,0.09,108.0,55.52,Ingreso Alto,218880.566444349,0.08,107.0,55.2,Ingreso Alto,243498.333237802,0.09,88.0,57.15,GRC,GRC
62,Guatemala,116.0,64.06,GTM,Ingreso Mediano Alto,77172.3172586478,0.04,116.0,64.26,Ingreso Mediano Alto,77719.46422072999,0.04,116.0,61.55,Ingreso Mediano Alto,86478.8356363813,0.04,124.0,47.94,Ingreso Mediano Alto,95630.524813106,0.04,127.0,48.12,Ingreso Mediano Alto,104450.210572012,0.04,138.0,42.28,GTM,GTM
63,Guinea,107.0,66.51,GIN,Países De Ingreso Mediano Bajo,13442.8614964454,0.01,110.0,65.66,Países De Ingreso Mediano Bajo,14088.6937429464,0.01,109.0,64.58,Países De Ingreso Mediano Bajo,17069.115737825898,0.01,84.0,59.82,Países De Ingreso Mediano Bajo,19910.452541921903,0.01,85.0,59.51,Países De Ingreso Mediano Bajo,22199.4097412578,0.01,78.0,59.97,GIN,GIN
64,Guinea-Bissau,89.0,69.05,GNB,Países De Ingreso Bajo,1588.63885359328,0.0,94.0,67.94,Países De Ingreso Bajo,1646.40034984867,0.0,95.0,67.32,Países De Ingreso Bajo,1853.79645589489,0.0,92.0,58.79,Países De Ingreso Bajo,1796.60853082267,0.0,78.0,61.57,Países De Ingreso Bajo,2048.34810835852,0.0,92.0,55.95,GNB,GNB
65,Guyana,51.0,73.37,GUY,Ingreso Alto,5173.760191846521,0.0,49.0,73.37,Ingreso Alto,5471.25659472422,0.0,51.0,74.39,Ingreso Alto,8041.36389304556,0.0,34.0,76.41,Ingreso Alto,14718.3870167866,0.01,60.0,67.5,Ingreso Alto,17159.5095654676,0.01,77.0,60.1,GUY,GUY
66,Haiti,62.0,71.0,HTI,Países De Ingreso Mediano Bajo,15016.0909295125,0.01,83.0,69.8,Países De Ingreso Mediano Bajo,14508.2225183018,0.01,87.0,68.88,Países De Ingreso Mediano Bajo,20877.4149526375,0.01,70.0,64.55,Países De Ingreso Mediano Bajo,20253.551920551603,0.01,99.0,57.38,Países De Ingreso Mediano Bajo,19850.8297575418,0.01,93.0,55.92,HTI,HTI
67,Honduras,146.0,51.47,HND,Países De Ingreso Mediano Bajo,24882.2257418119,0.01,148.0,51.8,Países De Ingreso Mediano Bajo,23352.232483755,0.01,151.0,50.65,Países De Ingreso Mediano Bajo,28144.331506614897,0.01,165.0,34.61,Países De Ingreso Mediano Bajo,31426.0418067985,0.01,169.0,32.65,Países De Ingreso Mediano Bajo,34400.5098520436,0.01,146.0,38.18,HND,HND
68,Hong Kong,73.0,70.35,HKG,Ingreso Alto,363074.54507238895,0.17,80.0,69.99,Ingreso Alto,344943.149590058,0.16,80.0,69.56,Ingreso Alto,368954.169748818,0.16,148.0,41.64,Ingreso Alto,358681.066274469,0.14,140.0,44.86,Ingreso Alto,380812.234827832,0.14,135.0,43.06,HKG,HKG
69,Hungary,87.0,69.56,HUN,Ingreso Alto,164020.460331659,0.08,89.0,69.16,Ingreso Alto,157288.955508176,0.07,92.0,68.24,Ingreso Alto,182109.99947769105,0.08,85.0,59.8,Ingreso Alto,177006.12862462702,0.07,72.0,62.96,Ingreso Alto,212388.906458724,0.08,67.0,62.98,HUN,HUN
70,Iceland,14.0,85.29,ISL,Ingreso Alto,24681.3436492952,0.01,15.0,84.88,Ingreso Alto,21629.9531940659,0.01,16.0,84.63,Ingreso Alto,25825.287184381803,0.01,15.0,82.69,Ingreso Alto,28770.2066265564,0.01,18.0,83.19,Ingreso Alto,31325.1165563807,0.01,18.0,80.13,ISL,ISL
71,India,140.0,54.33,IND,Países De Ingreso Mediano Bajo,2835606.25655819,1.32,142.0,54.67,Países De Ingreso Mediano Bajo,2674851.57858727,1.25,142.0,53.44,Países De Ingreso Mediano Bajo,3167270.62326047,1.34,150.0,41.0,Países De Ingreso Mediano Bajo,3353470.49688633,1.29,161.0,36.62,Países De Ingreso Mediano Bajo,3567551.6746230097,1.29,159.0,31.28,IND,IND
72,Indonesia,124.0,63.23,IDN,Ingreso Mediano Alto,1119099.87138579,0.52,119.0,63.18,Ingreso Mediano Alto,1059054.84271155,0.5,113.0,62.6,Ingreso Mediano Alto,1186509.69107097,0.5,117.0,49.27,Ingreso Mediano Alto,1319076.26729151,0.51,108.0,54.83,Ingreso Mediano Alto,1371171.15233116,0.49,111.0,51.15,IDN,IDN
73,Iran,170.0,35.59,,,,,173.0,35.19,,,,174.0,27.3,,,,178.0,23.22,,,,177.0,24.81,,,,176.0,21.3,,
